Artist,Title,Streams
Twenty One Pilots,Heathens,50226233
Kodak Black,Transportin',49908024
Tay-K,The Race,49101839
Migos,Get Right Witcha,48956386
Metro Boomin,No Complaints,48198860
Ariana Grande,Side To Side,47518424
Maroon 5,Cold,47457236
XXXTENTACION,Everybody Dies In Their Nightmares,47383684
Justin Bieber,Friends (with BloodPop®),46960589
Miguel,Sky Walker,46336756
SZA,The Weekend,46109618
J. Cole,Deja Vu,46024961
Clean Bandit,Symphony (feat. Zara Larsson),45573421
Thomas Rhett,Unforgettable,45366163
YFN Lucci,Everyday We Lit (feat. PnB Rock),45300321
Sam Smith,Too Good At Goodbyes - Edit,45142874
Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),44397432
Selena Gomez,Fetish (feat. Gucci Mane),44291387
Thomas Rhett,Craving You,43241460
Kodak Black,No Flockin,42705849
The Weeknd,Reminder,41163616
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,41025376
Kendrick Lamar,XXX. FEAT. U2.,40952336
PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",40747520
Desiigner,Panda,40435731
Rae Sremmurd,Perplexing Pegasus,39910027
Martin Garrix,In the Name of Love,39902615
21 Savage,Ghostface Killers,39748732
DJ Snake,Let Me Love You,39695589
Kodak Black,Too Many Years,39499458
Famous Dex,Pick It Up (feat. A$AP Rocky),39413460
6LACK,Ex Calling,39272019
Charlie Puth,How Long,39176675
Lord Huron,The Night We Met,39131369
Drake,Free Smoke,38902277
Katy Perry,Chained To The Rhythm,38652301
Drake,Controlla,38639011
Axwell /\ Ingrosso,More Than You Know,38607543
Maluma,Felices los 4,38498022
Lil Xan,Betrayed,38196387
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",38009957
Maroon 5,Don't Wanna Know,37328961
Martin Garrix,There for You,37297176
Drake,Teenage Fever,37060000
Rihanna,Needed Me,36998065
Dustin Lynch,Small Town Boy,36673320
Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),36539552
Eminem,'Till I Collapse,36493752
Nebu Kiniza,Gassed Up,36410907
Avicii,Lonely Together (feat. Rita Ora),36242323
Twenty One Pilots,Ride,35995069
blackbear,do re mi (feat. Gucci Mane),35925140
Drake,Blem,35906475
GoldLink,Crew,35851431
Lorde,Green Light,35613236
PARTYNEXTDOOR,Come and See Me (feat. Drake),35096263
Mariah Carey,All I Want for Christmas Is You,34999291
Ugly God,Water,34912587
Drake,Sneakin’,34419695
Jonas Blue,Mama,34296832
Kodak Black,Patty Cake,33791539
G-Eazy,Him & I (with Halsey),33605177
Martin Jensen,Solo Dance,33257017
Shawn Mendes,Mercy,33159522
Kendrick Lamar,YAH.,33002935
Lil Uzi Vert,Erase Your Social,32827510
Lady Gaga,The Cure,32711690
NAV,Some Way,32651334
Jon Pardi,Heartache On The Dance Floor,32273254
Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",31650802
Drake,Do Not Disturb,31549899
Drake,Too Good,31164107
Camila Cabello,Crying in the Club,30779261
Rich The Kid,New Freezer (feat. Kendrick Lamar),30771564
Major Lazer,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",30660471
P!nk,What About Us,30152791
Chris Brown,Questions,29925889
The Vamps,All Night,29624785
Alessia Cara,Scars To Your Beautiful,29545913
Chance The Rapper,All Night (feat. Knox Fortune),29368412
G-Eazy,Some Kind Of Drug,29356678
NAV,Up,29272531
Olivia Holt,History,29174893
NAV,Wanted You (feat. Lil Uzi Vert),29131704
Rita Ora,Your Song,29084789
Kendrick Lamar,PRIDE.,29035679
Lil Pump,Flex Like Ouu,28852947
Kygo,First Time,28649343
Future,Comin Out Strong,28624745
Fifth Harmony,Down,28582807
Chris Brown,Party,28494813
YBN Nahmir,Rubbin Off The Paint,28337576
Kendrick Lamar,LUST.,28187335
Kendrick Lamar,FEEL.,28034682
Big Sean,No Favors,27700494
Khalid,8TEEN,27559006
Steve Aoki,Just Hold On,26847886
Drake,Sacrifices,26758188
Bebe Rexha,I Got You,26692928
Kodak Black,Codeine Dreaming (feat. Lil Wayne),26572134
Snakehips,Don't Leave,26410330
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",26310860
The Chainsmokers,The One,26275149
Chris Brown,Pills & Automobiles,26192716
2 Chainz,Good Drank,26082351
Marian Hill,Down,26062776
Gucci Mane,Met Gala (feat. Offset),25952721
The Weeknd,Die For You,25909173
Wisin,Escápate Conmigo,25779232
Lil Pump,Boss,25770253
Kygo,Stargazing,25763596
Shakira,Chantaje,25646869
Luke Combs,When It Rains It Pours,25498448
Major Lazer,Cold Water (feat. Justin Bieber & MØ),25143694
Drake,Jumpman,25073284
Migos,Kelly Price (feat. Travis Scott),24769586
Macklemore,Good Old Days (feat. Kesha),24509056
Drake,Get It Together,24454211
J Balvin,Mi Gente (feat. Beyoncé),24296262
Sam Smith,Pray,24136128
MadeinTYO,Skateboard P (feat. Big Sean),24069293
Clean Bandit,I Miss You (feat. Julia Michaels),23949887
Post Malone,No Option,23943673
Noah Cyrus,Make Me (Cry),23925976
G-Eazy,Good Life (with G-Eazy & Kehlani),23827008
Petit Biscuit,Sunset Lover,23785387
Big Sean,Jump Out The Window,23360724
Lauv,The Other,23319828
Ed Sheeran,Happier,23220343
Shawn Mendes,Treat You Better,23038808
21 Savage,Numb,22979748
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),22856893
Post Malone,Deja Vu,22436233
Kendrick Lamar,GOD.,22398818
Skrillex,Would You Ever,22312357
Wale,Running Back (feat. Lil Wayne),22263756
Lil Yachty,One Night,22048775
OneRepublic,Rich Love (with Seeb),22046871
The Chainsmokers,All We Know,21756757
Taylor Swift,Gorgeous,21743680
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,21711829
John Legend,Love Me Now,21702508
