Artist,Title,Streams
Diplo,Get It Right (feat. MØ),3728865
Justin Timberlake,Filthy,3724604
Hugh Jackman,The Greatest Show,3720354
NAV,A$AP Ferg,3687973
21 Savage,Famous,3679345
Eminem,Untouchable,3671442
The Weeknd,All I Know,3642697
Migos,Culture (feat. DJ Khaled),3635123
Dylan Scott,My Girl,3571780
Big Sean,Bigger Than Me,3568957
Ozuna,La Modelo,3532935
Childish Gambino,V. 3005,3518595
Dean Martin,"Baby, It's Cold Outside",3518299
Ty Dolla $ign,Love U Better (feat. Lil Wayne & The-Dream),3515640
Sam Smith,Say It First,3496085
Harry Styles,Kiwi,3490206
Bing Crosby,Do You Hear What I Hear?,3483174
G-Eazy,The Beautiful & Damned,3479975
Logic,Confess,3445235
Chance The Rapper,Angels (feat. Saba),3437660
XXXTENTACION,Ayala (Outro),3427405
Kygo,Stranger Things,3419542
Desiigner,Up,3402417
Taylor Swift,Don’t Blame Me,3398933
Thurl Ravenscroft,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",3368243
Sam Smith,One Last Song,3362441
Lil Uzi Vert,Pretty Mami,3346647
Anitta,Downtown,3323261
Future,Zoom,3271698
Lil Pump,Molly,3268192
The Chainsmokers,Don't Say,3267943
Big Sean,Light,3245629
Gorillaz,Saturnz Barz (feat. Popcaan),3239350
Loren Allred,Never Enough,3220516
Bing Crosby,Mele Kalikimaka - Single Version,3220374
Kevin Gates,Really Really,3190477
Bryson Tiller,Somethin Tells Me,3183468
Future,Use Me,3177823
"Tyler, The Creator",Boredom,3151849
Future,Incredible,3122225
Carpenters,Sleigh Ride,3121155
Michael Bublé,Holly Jolly Christmas,3103406
The Chainsmokers,My Type,3062084
Harry Styles,Meet Me in the Hallway,2998998
Ziv Zaifman,A Million Dreams,2992950
Logic,America,2991432
Nat King Cole,Joy To The World,2986306
Dua Lipa,Be The One,2965518
SZA,The Weekend - Funk Wav Remix,2963663
The Chainsmokers,Bloodstream,2960650
Huncho Jack,Saint Laurent Mask,2944481
Harry Styles,Two Ghosts,2943135
Frank Sinatra,The First Noel - 1999 - Remaster,2943117
Harry Styles,Woman,2937222
Kesha,Woman,2900060
Lil Skies,Nowadays (feat. Landon Cube),2879314
Logic,Hallelujah,2839038
The Weeknd,False Alarm,2836361
Joey Bada$$,TEMPTATION,2822972
2 Chainz,Trap Check,2812496
Logic,Ink Blot,2782844
Nevada,The Mack,2747924
Gorillaz,Ascension (feat. Vince Staples),2746546
Lil Uzi Vert,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",2733681
G-Eazy,The Plan,2717142
Keith Urban,The Fighter,2713865
J. Cole,High For Hours,2700967
Future,High Demand,2699938
Hugh Jackman,The Other Side,2671978
The Weeknd,Attention,2665933
French Montana,Bring Dem Things,2636210
Harry Styles,Ever Since New York,2620824
Lorde,Sober,2609314
Logic,Anziety,2608884
Gorillaz,Andromeda (feat. DRAM),2601049
Tory Lanez,Real Thing (feat. Future),2582189
Eminem,Like Home (feat. Alicia Keys),2577891
J. Cole,She's Mine Pt. 1,2569455
Lil Pump,Designer,2559598
Trouble,Bring It Back (with Drake & Mike WiLL Made-It),2549468
Huncho Jack,Go,2549149
21 Savage,Run Up the Racks,2543477
Zedd,Stay,2528864
Tom Petty,Free Fallin',2521644
Halsey,Eyes Closed,2520803
Sam Smith,Nothing Left For You,2517602
Lil Uzi Vert,How To Talk,2514306
Migos,What The Price,2513670
Sam Smith,No Peace,2504528
Bryson Tiller,Self-Made,2482859
Future,No Cap,2482260
Lorde,The Louvre,2472646
Huncho Jack,Moon Rock,2469718
Future,Good Dope,2440684
Eminem,Remind Me,2431311
Huncho Jack,How U Feel,2418718
The Chainsmokers,Last Day Alive,2415311
Calvin Harris,Prayers Up,2415121
Lorde,Supercut,2411725
The Chainsmokers,Honest,2405772
Future,POA,2399986
blackbear,Idfc,2382779
Future,My Collection,2380327
J. Cole,4 Your Eyez Only,2374183
21 Savage,FaceTime,2369021
Sam Smith,Midnight Train,2364087
21 Savage,Still Serving,2327645
Sam Smith,Have Yourself A Merry Little Christmas,2327611
Eminem,Bad Husband (feat. X Ambassadors),2302994
Lana Del Rey,Lust For Life (with The Weeknd),2301101
Migos,Danger (with Migos & Marshmello),2295166
21 Savage,Close My Eyes,2282689
NAV,Call Me,2267108
Frank Ocean,Biking,2266989
Ty Dolla $ign,Darkside (with Ty Dolla $ign & Future feat. Kiiara),2265762
Nick Jonas,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2258916
Wale,Colombia Heights (Te Llamo) [feat. J Balvin],2251932
Big Sean,Same Time Pt. 1,2246489
Khalid,American Teen,2238657
Future,You Da Baddest,2215895
Gucci Mane,Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph),2180560
Machine Gun Kelly,Bad Things - With Camila Cabello,2179588
Huncho Jack,Where U From,2161589
The Chainsmokers,Young,2155673
Future,PIE,2149779
Eminem,Chloraseptic (feat. Phresher),2149075
Big Sean,Sunday Morning Jetpack,2141733
Sam Smith,Stay With Me,2137381
Nicki Minaj,Black Barbies,2124725
Linkin Park,What I've Done,2123667
Future,Might as Well,2115221
Logic,AfricAryaN,2098893
Sam Smith,HIM,2096196
Lil Peep,Benz Truck - гелик,2088883
XXXTENTACION,The Explanation,2087471
"Tyler, The Creator",I Ain't Got Time!,2084318
2 Chainz,OG Kush Diet,2083806
"Tyler, The Creator",Where This Flower Blooms,2075616
21 Savage,Darth Vader,2064672
Future,4 da Gang,2059361
Michael Jackson,Thriller,2056841
Future,Lookin Exotic,2051009
Eminem,Nowhere Fast (feat. Kehlani),2044561
Thomas Rhett,Leave Right Now,2044208
Migos,All Ass,2040233
Logic,Mos Definitely,2026877
Bryson Tiller,Stay Blessed,2020477
Harry Styles,Only Angel,2019487
Migos,Out Yo Way,2015378
X Ambassadors,Unsteady,2011650
The Chainsmokers,It Won't Kill Ya,1991273
Lil Uzi Vert,Malfunction,1967727
Miley Cyrus,Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,1963574
Eminem,Tragic Endings (feat. Skylar Grey),1963001
Big Sean,Inspire Me,1950632
Meek Mill,1942 Flows,1950011
Taylor Swift,Shake It Off,1943903
Calvin Harris,Faking It,1942606
Lil Uzi Vert,Early 20 Rager,1940769
SZA,Doves In The Wind,1939410
Bryson Tiller,Don't Get Too High,1924704
The Chainsmokers,Wake Up Alone,1920181
Metro Boomin,Blue Pill,1919955
Kesha,Hymn,1913626
Imagine Dragons,Walking The Wire,1908106
J. Cole,Ville Mentality,1904885
Nause,Dynamite (feat. Pretty Sister),1882900
James Arthur,Naked,1882389
Migos,Deadz (feat. 2 Chainz),1880899
Sam Smith,"Baby, You Make Me Crazy",1832006
Bing Crosby,The Little Drummer Boy,1827493
Drake,Childs Play,1806446
MadeinTYO,Uber Everywhere,1797117
Lorde,Hard Feelings/Loveless,1785354
Lana Del Rey,Groupie Love (feat. A$AP Rocky),1782427
NAV,Minute,1773603
"Tyler, The Creator",Foreword,1770722
Future,All da Smoke,1767322
Michael Bublé,White Christmas (Duet With Shania Twain),1761297
J. Cole,For Whom The Bell Tolls,1761226
Taylor Swift,Blank Space,1758336
Hugh Jackman,Come Alive,1753701
Big Sean,Big Bidness (& Metro Boomin),1728546
Frank Ocean,Provider,1726576
Harry Styles,From the Dining Table,1726096
Calvin Harris,Cash Out,1720966
Lil Peep,Awful Things,1716715
Katy Perry,Bon appétit,1712700
Walker Hayes,You Broke Up with Me,1708031
"Tyler, The Creator",Pothole,1700382
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,1698000
Future,F*ck Up Some Commas,1692309
Thomas Rhett,Life Changes,1681601
Hugh Jackman,From Now On,1676316
21 Savage,Baby Girl,1671227
Taylor Swift,Getaway Car,1661297
Migos,Big On Big,1656914
Tom Petty,I Won't Back Down,1649940
21 Savage,Thug Life,1646087
Gucci Mane,Dance With The Devil,1630375
"Tyler, The Creator",Garden Shed,1629901
Lil Pump,Back (feat. Lil Yachty),1622887
Matt Terry,Sucker for You,1617617
Natti Natasha,Criminal,1617522
BTS,Best Of Me,1601958
Michael Bublé,Jingle Bells (feat. The Puppini Sisters),1599843
Lorde,Writer In The Dark,1596642
Big Sean,Who's Stopping Me (& Metro Boomin),1592212
Lil Skies,Red Roses (feat. Landon Cube),1587718
Cole Swindell,Flatliner (feat. Dierks Bentley),1585689
David Guetta,Dirty Sexy Money (feat. Charli XCX & French Montana),1583466
Sam Smith,Palace,1576108
Future,Outta Time,1572608
Jaden Smith,Breakfast (feat. A$AP Rocky),1568999
"Tyler, The Creator",Droppin' Seeds,1566929
Lil Yachty,X Men,1563944
Lorde,Sober II (Melodrama),1563455
Future,Scrape,1558603
2 Chainz,Blue Cheese,1557075
Fifth Harmony,He Like That,1554938
Nicky Jam,El Amante,1552509
Kid Cudi,Baptized In Fire,1546882
Miguel,Pineapple Skies,1546261
Charli XCX,Boys,1545259
Sam Smith,The Thrill Of It All,1545247
Lana Del Rey,13 Beaches,1540815
Sam Smith,Scars,1537230
Jason Aldean,Any Ol' Barstool,1532266
Imagine Dragons,I Don’t Know Why,1529251
Bryson Tiller,Get Mine,1526017
Vince Staples,Big Fish,1525880
Eminem,Offended,1523947
Ariana Grande,美女と野獣,1515427
Michelle Williams,Tightrope,1515363
Kehlani,CRZY,1492456
Eminem,Framed,1478936
Young Thug,Cruise Ship,1477620
Quality Control,My Dawg,1468643
2 Chainz,Big Amount,1464782
Future,Poppin' Tags,1464579
Miley Cyrus,Younger Now,1462785
Bryson Tiller,No Longer Friends,1451587
YBN Nahmir,Rubbin off the Paint,1445328
Tory Lanez,Shooters,1445025
London On Da Track,No Flag,1441294
Adele,Hello,1439185
Eminem,Castle,1425833
Tom Petty and the Heartbreakers,American Girl,1407751
GoldLink,Crew REMIX,1397065
"Tyler, The Creator",Glitter,1394757
Future,Solo,1394196
Khalid,Shot Down,1391723
Wiz Khalifa,Letterman,1386197
Lana Del Rey,Cherry,1384345
Taylor Swift,This Is Why We Can’t Have Nice Things,1380784
"Tyler, The Creator",Sometimes...,1378752
blackbear,make daddy proud,1377271
Chris Stapleton,Either Way,1376482
Carpenters,Merry Christmas Darling - Album Version/Remix,1376295
Future,Feds Did a Sweep,1375026
Gucci Mane,Enormous (feat. Ty Dolla $ign),1368647
Future,Damage,1367227
John Mayer,Love on the Weekend,1366207
Brantley Gilbert,The Weekend,1363771
Ty Dolla $ign,Don't Judge Me (feat. Future and Swae Lee),1357193
BTS,Go Go,1356962
Liam Payne,For You (Fifty Shades Freed),1355466
"Ray Parker, Jr.",Ghostbusters,1349474
Eminem,In Your Head,1348416
Eminem,Arose,1333717
J. Cole,everybody dies,1328593
Future,Three,1326646
Taylor Swift,Dress,1326554
SZA,Broken Clocks,1324581
Taylor Swift,New Year’s Day,1324496
A$AP Ferg,Work REMIX,1324277
Andy Williams,Sleigh Ride,1323588
Linkin Park,One Step Closer,1323333
Paramore,Told You So,1321804
John Mayer,Moving On and Getting Over,1317742
Carpenters,Silent Night,1314362
Taylor Swift,King Of My Heart,1312488
Nat King Cole Trio,All I Want For Christmas (Is My Two Front Teeth) - 1990 - Remaster,1303700
Kay Starr,The Man With The Bag,1296403
PnB Rock,Lovin' (feat. A Boogie Wit da Hoodie),1293472
"Tyler, The Creator",November,1289051
DRAM,ILL NANA (feat. Trippie Redd),1287053
The Jackson 5,Santa Claus Is Coming To Town,1283367
JAY Z,Numb / Encore,1280271
Meek Mill,Fuck That Check Up (feat. Lil Uzi Vert),1277999
Coldplay,Hymn For The Weekend - Seeb Remix,1275770
Daniel Caesar,Get You (feat. Kali Uchis),1270493
Gucci Mane,Make Love,1262171
21 Savage,Nothin New,1246018
Wiz Khalifa,Something New (feat. Ty Dolla $ign),1244282
DJ Snake,Middle,1243317
Trippie Redd,Poles 1469,1235405
Taylor Swift,Wildest Dreams,1227072
Kehlani,Distraction,1224858
DJ Khaled,On Everything,1220922
Future,Fresh Air,1217976
Ty Dolla $ign,Ex (feat. YG),1213442
Kodak Black,Built My Legacy (feat. Offset),1209031
Tom Petty and the Heartbreakers,Mary Jane's Last Dance,1207899
Sam Smith,One Day At A Time,1205770
Big Sean,Intro,1200822
James Hersey,Miss You,1195087
21 Savage,Dead People,1193833
Chris Brown,High End,1189526
Future,200,1184623
Eminem,Revival (Interlude),1183384
Tyga,Feel Me,1182178
Beyoncé,Halo,1181149
Kris Wu,Deserve (feat. Travis Scott),1181075
Future,Drip on Me,1179938
21 Savage,Whole Lot,1168201
Halsey,Not Afraid Anymore,1159247
Niall Horan,Seeing Blind,1158075
Thomas Rhett,Sixteen,1157081
Eminem,Heat,1151733
Gorillaz,Let Me Out (feat. Mavis Staples & Pusha T),1139026
Tom Petty,Runnin' Down A Dream,1134466
PnB Rock,Misunderstood,1133846
Soundgarden,Black Hole Sun,1126431
Imagine Dragons,Start Over,1125659
Young Thug,Killed Before,1110354
Eminem,Need Me (feat. Pink),1107755
Linkin Park,One More Light,1102321
Ugly God,Stop Smoking Black & Milds,1102115
Taylor Swift,So It Goes...,1094539
Sam Hunt,Drinkin' Too Much,1084889
Drake,All Me,1083519
John Mayer,Changing,1083330
*NSYNC,"Merry Christmas, Happy Holidays",1081292
Taylor Swift,Dancing With Our Hands Tied,1073045
Bryson Tiller,Blowing Smoke,1069687
Lana Del Rey,In My Feelings,1069686
Fall Out Boy,Young And Menace,1065665
Marvin Gaye,Ain't No Mountain High Enough,1057314
SZA,Supermodel,1048848
State of Sound,Wake Up Where You Are,1044616
Imagine Dragons,I’ll Make It Up To You,1042700
Steve Aoki,All Night,1041886
Future,Testify,1041223
Chris Rea,Driving Home For Christmas,1040360
Little Big Town,Better Man,1038689
Joey Bada$$,ROCKABYE BABY (feat. ScHoolboy Q),1036200
The Pogues,Fairytale of New York (feat. Kirsty MacColl),1035213
Aminé,Spice Girl,1031727
Linkin Park,Crawling,1030011
Gorillaz,Submission (feat. Danny Brown & Kelela),1024517
GASHI,Disrespectful,1023769
Lil Uzi Vert,Skir Skirr,1017714
Big Sean,Savage Time (& Metro Boomin),1017576
Nat King Cole,The Happiest Christmas Tree,1011388
Bing Crosby,I'll Be Home For Christmas - Single Version,1002220
The xx,On Hold,1000295
Imagine Dragons,Rise Up,999687
21 Savage,Money Convo,996283
Flo Rida,My House,992972
21 Savage,7 Min Freestyle,990399
A$AP Rocky,F**kin' Problems,987827
Lil Pump,Iced Out (feat. 2 Chainz),973317
Lou Monte,Dominick The Donkey (The Italian Christmas Donkey) [With Joe Reisman's Orchestra and Chorus],972418
Taylor Swift,Bad Blood,970341
Perry Como,Here We Come a-Caroling / We Wish You a Merry Christmas,968388
Miguel,Come Through and Chill,968314
2 Chainz,Realize,965930
Chad Focus,"Get to the Money (feat. Troyse, Cito G & Flames)",965515
Future,Hallucinating,961759
Roy Woods,Instinct (feat. MadeinTYO),960003
DJ Khaled,Iced Out My Arms,954135
La La Land Cast,"Another Day Of Sun - From ""La La Land"" Soundtrack",946291
The Jackson 5,I Want You Back,935119
PARTYNEXTDOOR,Not Nice,925307
BTS,dimple,920484
Tom Petty and the Heartbreakers,Breakdown,917978
G-Eazy,Pray For Me,917383
Gorillaz,Momentz (feat. De La Soul),912786
Miley Cyrus,Party In The U.S.A.,912358
Lana Del Rey,Beautiful People Beautiful Problems (feat. Stevie Nicks),911867
Camila Cabello,Never Be the Same - Radio Edit,906522
Tory Lanez,LUV,906430
Young Thug,"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",906312
Rick Ross,Dead Presidents,903359
Chad Focus,Get to the Money,900933
G-Eazy,But A Dream,899011
Lil Pump,Crazy,898203
SZA,Drew Barrymore,893973
BTS,Intro: Serendipity,892805
Foster The People,Pumped Up Kicks,892372
Lana Del Rey,White Mustang,891386
Future,Real Love,889885
BTS,Pied Piper,876050
Logic,Waiting Room,872859
"Bobby ""Boris"" Pickett & The Crypt-Kickers",Monster Mash,867330
Drake,Headlines,864003
Hozier,Take Me To Church,857675
Vince Staples,Yeah Right,857546
Bryson Tiller,We Both Know,854725
Brett Eldredge,Somethin' I'm Good At,836278
Enrique Iglesias,SUBEME LA RADIO,835816
Kelly Clarkson,Underneath the Tree,834681
Brett Eldredge,Wanna Be That Song,834486
Bryson Tiller,You Got It,833033
Huncho Jack,Best Man,832129
Kodak Black,Day For Day,828324
Ty Dolla $ign,Don't Sleep On Me (feat. Future and 24hrs),827634
Sia,Santa's Coming For Us,827417
R. Kelly,Ignition - Remix,823117
Michael Jackson,Billie Jean,822887
Linkin Park,Papercut,819045
Daryl Hall & John Oates,You Make My Dreams - Remastered,818406
Taylor Swift,Style,807200
Gryffin,Feel Good (feat. Daya),805016
Future,When I Was Broke,804445
Linkin Park,Somewhere I Belong,802983
Charlie Puth,How Long (feat. French Montana) - Remix,801879
Bryson Tiller,In Check,798761
Baka Not Nice,Live Up To My Name,790157
Linkin Park,Faint,789746
Lil Yachty,Harley,783251
Chance The Rapper,Blessings,779328
Meek Mill,Wins & Losses,778972
Lorde,Liability (Reprise),773946
Bryson Tiller,High Stakes,772997
Russ,Cherry Hill,770366
Linkin Park,Bleed It Out,769588
Chance The Rapper,Summer Friends (feat. Jeremih & Francis & The Lights),766775
Gucci Mane,Work In Progress (Intro),766473
J. Cole,Foldin Clothes,760692
Bing Crosby,What Child Is This?/The Holly And The Ivy (Medley),758871
Chris Lane,Take Back Home Girl (Feat. Tori Kelly),756739
WizKid,Come Closer,754675
Nicki Minaj,Changed It,753901
Perry Como,"Medley: Caroling, Caroling / The First Noel / Hark! The Herald Angels Sing / Silent Night",746213
"Earth, Wind & Fire",September,745118
Coldplay,Miracles (Someone Special),742821
Tom Petty and the Heartbreakers,Learning To Fly,737783
Gucci Mane,Miss My Woe (feat. Rico Love),732801
21 Savage,Special,732524
Meek Mill,Issues,731543
Bing Crosby,Hark! The Herald Angels Sing/It Came Upon A Midnight Clear (Medley) - 24-Bit Digitally Remastered 99,728437
Gucci Mane,Money Make Ya Handsome,722340
Bing Crosby,God Rest Ye Merry Gentlemen - Single Version,721880
Tony Bennett,O Christmas Tree,719308
Maroon 5,Whiskey (feat. A$AP Rocky),716781
Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",712413
Electric Light Orchestra,Mr. Blue Sky,711851
Ed Sheeran,The A Team,707515
Linkin Park,Battle Symphony,702771
DMX,Rudolph the Rednose Reindeer,701454
Maroon 5,What Lovers Do,696968
Drake,Legend,691590
Bing Crosby,Twelve Days Of Christmas - Single Version,689955
YFN Lucci,Everyday We Lit (Remix),686049
DJ Khaled,I Love You so Much,685850
John Denver,We Wish You A Merry Christmas,685841
Migos,Dab of Ranch - Recorded at Spotify Studios NYC,685767
Peggy Lee,The Christmas Waltz,685048
Kesha,Rainbow,684884
Thirty Seconds To Mars,Walk On Water,684269
G-Eazy,Legend,683055
The Platters,Christmas Time,678635
Elvis Presley,O Little Town of Bethlehem,678493
Calvin Harris,Holiday,678050
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,672741
Nat King Cole,O Tannenbaum,671170
ODESZA,Falls (feat. Sasha Sloan),666714
Drake,0 To 100 / The Catch Up,665904
Tom Petty,You Don't Know How It Feels,658237
Stevie Wonder,Superstition - Single Version,653078
Wale,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",645565
Calvin Harris,Skrt On Me,644234
Bing Crosby,Let's Start The New Year Off Right,638373
Bryson Tiller,Rain On Me (Intro),637400
Audioslave,Like a Stone,630427
OutKast,Hey Ya! - Radio Mix / Club Mix,629734
BTS,MIC Drop,628638
Kehlani,Do U Dirty,623573
Fetty Wap,679 (feat. Remy Boyz),623512
Lil Peep,Beamer Boy,613271
The xx,Say Something Loving,610290
Tom Petty,You Wreck Me,609787
Kodak Black,Coolin and Booted,609592
Tom Petty,Wildflowers,607754
Michael Bublé,Cold December Night,602406
Daryl Hall & John Oates,Rich Girl,600955
Tom Petty and the Heartbreakers,Don't Do Me Like That,597084
Paramore,Forgiveness,594317
A Boogie Wit da Hoodie,No Comparison,592045
A$AP Mob,Please Shut Up,584499
Gorillaz,Strobelite (feat. Peven Everett),582549
Chris Brown,Privacy,580408
Shaggy,It Wasn't Me,578284
Future,Keep Quiet,573354
DNCE,Cake By The Ocean,572896
Van Morrison,Brown Eyed Girl,571500
Lil Pump,What U Sayin' (feat. Smokepurpp),567555
Fetty Wap,Trap Queen,567344
Big Sean,Even The Odds (& Metro Boomin),565602
John Mayer,You're Gonna Live Forever in Me,564266
Coldplay,Christmas Lights,564011
Gucci Mane,Mall,562617
Michael Bublé,All I Want For Christmas Is You,561927
Drake,"Two Birds, One Stone",560557
Big Sean,In Tune (& Metro Boomin),559954
G-Eazy,Love Is Gone,556210
Smokepurpp,OK (feat. Lil Pump),554489
Linkin Park,Good Goodbye (feat. Pusha T and Stormzy),551879
DRAM,Gilligan,551867
Rich Brian,Gospel,551774
Quality Control,Too Hotty,549078
Kesha,Let 'Em Talk,546259
HAIM,Want You Back,546241
Demi Lovato,I'll Be Home For Christmas - Recorded at Spotify Studios NYC,545886
Gucci Mane,Peepin out the Blinds,545388
Bruce Springsteen,Santa Claus Is Comin' to Town - Single Version,544224
Blue Öyster Cult,(Don't Fear) The Reaper,543066
Britney Spears,My Only Wish (This Year),541641
Sam Smith,"River - Recorded At RAK Studios, London",540859
Queen,Bohemian Rhapsody - Remastered 2011,540735
Bryson Tiller,Teach Me a Lesson,539402
Panic! At The Disco,I Write Sins Not Tragedies,532228
Halsey,Alone,528420
Chance The Rapper,Mixtape (feat. Young Thug & Lil Yachty),526977
A$AP Mob,Perry Aye,526768
The Ronettes,Sleigh Ride,526083
Linkin Park,Breaking The Habit,525871
Adele,Make You Feel My Love,518321
Gucci Mane,Rich Ass Junkie,515031
Bryson Tiller,Set It Off,512343
Bryson Tiller,Money Problems / Benz Truck,507414
Big Sean,Reason (& Metro Boomin),506580
Prince,Purple Rain,505635
Future,Massage In My Room,505312
Thomas Rhett,Grave,501788
Jax Jones,Instruction (feat. Demi Lovato & Stefflon Don),501559
Future,Flip,500784
Gorillaz,Charger (feat. Grace Jones),498332
Lil Pump,Youngest Flexer (feat. Gucci Mane),497504
Meghan Trainor,I'll Be Home,494785
Rick Ross,I Think She Like Me,493670
A$AP Mob,Walk On Water,492000
DJ Khaled,I Can't Even Lie,486907
DJ Khaled,Down for Life,478296
DJ Khaled,It's Secured,475642
Marc E. Bassy,Plot Twist,472256
Gene Autry,Rudolph the Red-Nosed Reindeer,472132
Joey Bada$$,FOR MY PEOPLE,471463
Future,Mink Flow,467193
Gorillaz,Busted and Blue,466996
John Mayer,Helpless,463574
A$AP Mob,Blowin' Minds (Skateboard),462418
A$AP Mob,Feels So Good,461393
Coldplay,Hypnotised,460682
Joey Bada$$,LAND OF THE FREE,460091
DJ Khaled,Major Bag Alert,459953
Linkin Park,Sorry for Now,458504
Paramore,Rose-Colored Boy,456917
Coldplay,All I Can Think About Is You,456614
Soundgarden,Fell On Black Days,455864
Joey Bada$$,"RING THE ALARM (feat. Nyck Caution, Kirk Knight & Meechy Darko)",451540
Fifth Harmony,Angel,448701
Bryson Tiller,Rain Interlude,448229
Lil Peep,U Said,447670
Bryson Tiller,Before You Judge,445084
Lynyrd Skynyrd,Sweet Home Alabama,442786
Future,Neva Missa Lost,438681
2Pac,Ambitionz Az A Ridah,438159
Niall Horan,On The Loose,432190
"Tyler, The Creator","Enjoy Right Now, Today",431846
2 Chainz,Saturday Night,431677
The Notorious B.I.G.,Juicy,431546
Lady Gaga,Poker Face,428054
A$AP Mob,Frat Rules,427135
Luke Bryan,Light It Up,426007
French Montana,Jump,423819
Bryson Tiller,Nevermind This Interlude,421880
M.I.A.,Paper Planes,420988
Audioslave,Show Me How to Live,420167
Chris Stapleton,Broken Halos,419998
John Legend,All of Me,418803
Lady Gaga,Bad Romance,416397
Kendrick Lamar,Money Trees,416120
Meek Mill,We Ball (feat. Young Thug),416075
J. Cole,She's Mine Pt. 2,414147
2 Chainz,Riverdale Rd,412484
Lana Del Rey,Coachella - Woodstock In My Mind,408262
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",406865
Kehlani,Escape,405351
The Weeknd,Ordinary Life,405221
Gorillaz,We Got The Power (feat. Jehnny Beth),404473
Tom Petty and the Heartbreakers,Refugee,403155
NAV,Perfect Timing (Intro),403088
Rockwell,Somebody's Watching Me - Single Version,402811
Future,Turn On Me,402361
Young Thug,Family Don't Matter (feat. Millie Go Lightly),401774
The xx,I Dare You,398777
P!nk,Beautiful Trauma,397629
Lil Peep,The Brightside,397202
Calvin Harris,Hard to Love,397190
Lana Del Rey,Tomorrow Never Came (feat. Sean Ono Lennon),394633
NAV,Both Sides,394261
Tory Lanez,Skrt Skrt,392587
Lil Pump,Ok,391402
Lana Del Rey,God Bless America - And All The Beautiful Women In It,389864
The xx,Dangerous,389117
Queen,Don't Stop Me Now - Remastered,388609
Jay Critch,Fashion (feat. Rich The Kid),388154
blackbear,anxiety (with FRND),387946
Ugly God,No Lies (feat. Wiz Khalifa),385816
Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",384705
Daddy Yankee,Vuelve,381865
Aretha Franklin,Respect,380554
The Beatles,Twist And Shout - Remastered 2009,380372
Future,I Thank U,380025
Kendrick Lamar,A.D.H.D,379362
Lana Del Rey,Heroin,377931
Devin Dawson,All On Me,377850
Ugly God,Welcome To The Booty Tape,376664
2 Chainz,Poor Fool,375587
Taylor Swift,Love Story,369874
Imagine Dragons,Yesterday,369733
Rick Ross,Idols Become Rivals,369494
Future,New Illuminati,365011
AC/DC,You Shook Me All Night Long,364887
Taylor Swift,You Belong With Me,364581
Disney Characters,This Is Halloween,364572
Imagine Dragons,Mouth Of The River,362627
Passenger,Let Her Go,362173
Starley,Call on Me - Ryan Riback Remix,361891
Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",361050
Kane Brown,Heaven,360835
Jeezy,"American Dream (feat. J.Cole, Kendrick Lamar)",353941
A$AP Ferg,Nasty (Who Dat),353540
Gucci Mane,Both Eyes Closed (feat. 2 Chainz and Young Dolph),351156
Oasis,Wonderwall - Remastered,350935
Halsey,Sorry,347827
AC/DC,Highway to Hell,343613
The Clash,Should I Stay or Should I Go - Remastered,342351
Ugly God,Fuck Ugly God,340719
Tom Petty and the Heartbreakers,Listen To Her Heart,339523
Tom Petty,Time To Move On,338190
Dierks Bentley,Black,334230
Rick Ross,Apple of My Eye,327349
Linkin Park,Leave Out All The Rest,321479
Kelly Clarkson,Love So Soft,317868
Linkin Park,BURN IT DOWN,314406
blackbear,playboy shit (feat. lil aaron),313085
Tove Lo,Disco Tits,308874
David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),307977
Bonnie Tyler,Total Eclipse of The Heart,302026
Frank Sinatra,Jingle Bells - 1999 - Remaster,301901
Lin-Manuel Miranda,Almost Like Praying (feat. Artists for Puerto Rico),299656
N.E.R.D,Don't Don't Do It!,297446
Kehlani,Undercover,296503
Tom Petty and the Heartbreakers,The Waiting,292894
Lil Pump,Smoke My Dope (feat. Smokepurpp),292626
Tom Petty and the Heartbreakers,Here Comes My Girl,289798
Miley Cyrus,I Would Die For You,288185
P!nk,For Now,286154
Demi Lovato,Ruin The Friendship,285168
Vince Guaraldi Trio,Linus And Lucy,284504
Lil Yachty,Better,283418
Linkin Park,Nobody Can Save Me,282439
Stevie Wonder,What Christmas Means To Me,282408
Marshmello,You & Me,281661
Vance Joy,Lay It On Me,281366
DJ Jazzy Jeff & The Fresh Prince,A Nightmare On My Street,280831
G-Eazy,Nothing Wrong,280177
Bruce Springsteen,Born In The U.S.A.,277905
