Artist,Title,views,delimiter count
Justin Timberlake ,Supplies,42339916,1
Pentatonix, New Rules x Are You That Somebody?,42060844,1
"Milo Manheim, Meg Donnelly ",Someday (From ZOMBIES),41928539,1
Justin Timberlake ,Man of the Woods,41701393,1
OK Go ,Obsession ,41183174,1
"Hailee Steinfeld, Alesso ","Let Me Go ft. Florida Georgia Line, watt",40509837,1
Khalid & Normani ,Love Lies,39166248,1
Azealia Banks ,Anna Wintour,38349617,1
"Pitbull, Fifth Harmony ",Por Favor,36099280,1
Meghan Trainor ,Can't Dance,35624815,1
MACKLEMORE FEAT DAVE B & TRAVIS THOMPSON ,CORNER STORE,34127002,1
Lady Gaga ,Your Song,34015827,1
"Zedd, Maren Morris, Grey ",The Middle,33959840,1
Five Finger Death Punch ,Gone Away,33501371,1
iKON ,‘사랑을 했다(LOVE SCENARIO)’ M/V,33246211,1
Alan Walker ,Faded,32685530,1
Justin Timberlake ,Pepsi Super Bowl LII Halftime Show,30542398,1
Sam Smith ,One Last Song,30274314,1
Halsey ,Sorry,29834129,1
"Mustard, Nick Jonas ",Anywhere,29818604,1
JAY-Z,Family Feud ft. Beyoncé,28375589,1
Kelly Clarkson ,I Don't Think About You,27440862,1
Martin Garrix & David Guetta ,So Far Away (feat. Jamie Scott & Romy Dya),27250257,1
Meghan Trainor ,Let You Be Right,27105426,1
Janelle Monáe ,I Like That,26819473,1
The 1975 ,Give Yourself A Try,26793291,1
Lauv ,Bracelet,26757604,1
Grace VanderWaal ,Clearly,26603665,1
"John Legend, BloodPop® ",A Good Night ft. BloodPop®,26333855,1
"Imagine Dragons, Khalid ",Thunder / Young Dumb & Broke (Medley/),25865735,1
Sia ,Santa's Coming For Us,25423928,1
Blake Shelton ,I Lived It,25055794,1
Toni Braxton ,Long As I Live,25039077,1
Marshmello x Juicy J ,You Can Cry (Ft. James Arthur),24624272,1
Calum Scott ,Come Back Home,24248873,1
Rudimental ,"These Days feat. Jess Glynne, Macklemore & Dan Caplen",24053679,1
Demi Lovato ,Sorry Not Sorry,23862488,1
Remy Ma ,Wake Me Up ft. Lil' Kim,23545442,1
Migos ,Stir Fry,23446082,1
Lindsey Stirling ,The Greatest Showman Medley,23144392,1
Marshmello ,Blocks,23144273,1
Lady Gaga ,Joanne (Where Do You Think You’re Goin’?) (Piano Version),22917168,1
Maroon 5 ,Three Little Birds,22545995,1
"Cashmere Cat, Major Lazer, Tory Lanez ",Miss You,21810666,1
Muse ,Thought Contagion,21804186,1
Snoop Dogg ,One More Day ft. Charlie Wilson,21307932,1
Keith Urban ,Coming Home ft. Julia Michaels,20659794,1
Calum Scott ,You Are The Reason,20225000,1
Jason Mraz  ,Have It All,19889568,1
Steve Aoki x Lauren Jauregui ,All Night [Ultra Music],19749530,1
Brett Young ,Mercy,19516800,1
Lil Peep ,Save That Shit,19266150,1
Crossing A Line ,Mike Shinoda,19259352,1
"Camila Cabello, Daddy Yankee ",Havana (Remix),19077166,1
Kygo ,Stranger Things ft. OneRepublic,19071153,1
Julia Michaels ,Heaven,19065783,1
Julia Michaels ,Jump ft. Trippie Redd,19002541,1
